CODIGO;TITULO;
212305;Administrador de banco de dados;"INSERT INTO states (code, title) VALUES ('212305','Administrador de banco de dados');"
212315;Administrador de sistemas operacionais;"INSERT INTO states (code, title) VALUES ('212315','Administrador de sistemas operacionais');"
212415;Analista de sistemas de automação;"INSERT INTO states (code, title) VALUES ('212415','Analista de sistemas de automação');"
212420;Analista de suporte computacional;"INSERT INTO states (code, title) VALUES ('212420','Analista de suporte computacional');"
212410;Analista de redes e de comunicação de dados;"INSERT INTO states (code, title) VALUES ('212410','Analista de redes e de comunicação de dados');"
212405;Analista de desenvolvimento de sistemas;"INSERT INTO states (code, title) VALUES ('212405','Analista de desenvolvimento de sistemas');"
213110;Físico (acústica);"INSERT INTO states (code, title) VALUES ('213110','Físico (acústica)');"
213170;Físico (plasma);"INSERT INTO states (code, title) VALUES ('213170','Físico (plasma)');"
213175;Físico (térmica);"INSERT INTO states (code, title) VALUES ('213175','Físico (térmica)');"
213165;Físico (partículas e campos);"INSERT INTO states (code, title) VALUES ('213165','Físico (partículas e campos)');"
213160;Físico (óptica);"INSERT INTO states (code, title) VALUES ('213160','Físico (óptica)');"
213155;Físico (nuclear e reatores);"INSERT INTO states (code, title) VALUES ('213155','Físico (nuclear e reatores)');"
213150;Físico (medicina);"INSERT INTO states (code, title) VALUES ('213150','Físico (medicina)');"
213145;Físico (materiais);"INSERT INTO states (code, title) VALUES ('213145','Físico (materiais)');"
213125;Físico (estatística e matemática);"INSERT INTO states (code, title) VALUES ('213125','Físico (estatística e matemática)');"
213140;Físico (matéria condensada);"INSERT INTO states (code, title) VALUES ('213140','Físico (matéria condensada)');"
213105;Físico;"INSERT INTO states (code, title) VALUES ('213105','Físico');"
213115;Físico (atômica e molecular);"INSERT INTO states (code, title) VALUES ('213115','Físico (atômica e molecular)');"
213120;Físico (cosmologia);"INSERT INTO states (code, title) VALUES ('213120','Físico (cosmologia)');"
213130;Físico (fluidos);"INSERT INTO states (code, title) VALUES ('213130','Físico (fluidos)');"
213135;Físico (instrumentação);"INSERT INTO states (code, title) VALUES ('213135','Físico (instrumentação)');"
213215;Tecnólogo em processos químicos;"INSERT INTO states (code, title) VALUES ('213215','Tecnólogo em processos químicos');"
213210;Químico industrial;"INSERT INTO states (code, title) VALUES ('213210','Químico industrial');"
213205;Químico;"INSERT INTO states (code, title) VALUES ('213205','Químico');"
213305;Astrônomo;"INSERT INTO states (code, title) VALUES ('213305','Astrônomo');"
213315;Meteorologista;"INSERT INTO states (code, title) VALUES ('213315','Meteorologista');"
213310;Geofísico espacial;"INSERT INTO states (code, title) VALUES ('213310','Geofísico espacial');"
213440;Oceanógrafo;"INSERT INTO states (code, title) VALUES ('213440','Oceanógrafo');"
213425;Hidrogeólogo;"INSERT INTO states (code, title) VALUES ('213425','Hidrogeólogo');"
213420;Geoquímico;"INSERT INTO states (code, title) VALUES ('213420','Geoquímico');"
213415;Geofísico;"INSERT INTO states (code, title) VALUES ('213415','Geofísico');"
213410;Geólogo de engenharia;"INSERT INTO states (code, title) VALUES ('213410','Geólogo de engenharia');"
